Title: 磁場スイープ８パタパタ
Date: 2024-06-28
VG	REAL(CURRENT)
 0.449 	7.77165293693542E-02 
 0.448 	0.100144162774086 
 0.447 	8.43685790896416E-02 
 0.446 	7.36833736300468E-02 
 0.445 	7.72906094789505E-02 
 0.444 	8.70101079344749E-02 
 0.443 	7.53969550132751E-02 
 0.442 	0.100873529911041 
 0.441 	8.07599574327469E-02 
 0.44 	0.100005522370338 
 0.439 	9.17519852519035E-02 
 0.438 	0.100862473249435 
 0.437 	0.108711011707783 
 0.436 	8.78008231520653E-02 
 0.435 	0.103059142827988 
 0.434 	9.16527733206749E-02 
 0.433 	0.104818768799305 
 0.432 	9.49619263410568E-02 
 0.431 	0.106194905936718 
 0.43 	0.124630905687809 
 0.429 	9.48660969734192E-02 
 0.428 	0.11818278580904 
 0.427 	0.114822335541248 
 0.426 	0.138627544045448 
 0.425 	0.14605425298214 
 0.424 	0.176779791712761 
 0.423 	0.170415237545967 
 0.422 	0.193884253501892 
 0.421 	0.200048491358757 
 0.42 	0.237663567066193 
 0.419 	0.223079010844231 
 0.418 	0.250123769044876 
 0.417 	0.324383676052094 
 0.416 	0.447750777006149 
 0.415 	0.545723617076874 
 0.414 	0.641056656837463 
 0.413 	0.487171530723572 
 0.412 	0.361738711595535 
 0.411 	0.204859763383865 
 0.41 	-1.08138518407941E-02 
 0.409 	1.31207164376974E-02 
 0.408 	-1.00335646420717E-02 
 0.407 	7.21589662134647E-03 
 0.406 	9.06556565314531E-03 
 0.405 	-7.30767496861517E-04 
 0.404 	3.31823225133121E-03 
 0.403 	-6.07988331466913E-03 
 0.402 	-1.50283006951213E-02 
 0.401 	-8.70707537978888E-03 
 0.4 	1.36759728193283E-02 
 0.399 	-9.51577443629503E-03 
 0.398 	4.79829078540206E-03 
 0.397 	0.032041322439909 
 0.396 	2.67627984285355E-02 
 0.395 	4.85257841646671E-02 
 0.394 	3.29700857400894E-02 
 0.393 	9.62688401341438E-03 
 0.392 	3.24861481785774E-02 
 0.391 	1.12083218991756E-02 
 0.39 	2.58441753685474E-02 
 0.389 	3.00646126270294E-02 
 0.388 	3.46243963576853E-03 
 0.387 	-2.13214382529259E-03 
 0.386 	-4.16257011238486E-04 
 0.385 	-4.86597465351224E-03 
 0.384 	-4.37591131776571E-03 
 0.383 	-2.40367613732815E-02 
 0.382 	2.8984984382987E-03 
 0.381 	-1.65394432842731E-02 
 0.38 	-8.74640140682459E-03 
 0.379 	1.49215962737799E-02 
 0.378 	0.010089841671288 
 0.377 	2.90631875395775E-02 
 0.376 	-1.10684456303716E-02 
 0.375 	-5.87364193052053E-03 
 0.374 	-8.96887481212616E-03 
 0.373 	-1.15371812134981E-02 
 0.372 	-7.61567335575819E-03 
 0.371 	-5.30212419107556E-04 
 0.37 	4.63291723281145E-03 
 0.369 	4.68952441588044E-03 
 0.368 	-2.90274899452925E-03 
 0.367 	-2.41088028997183E-02 
 0.366 	-1.07943527400494E-02 
 0.365 	5.35456836223602E-03 
 0.364 	-5.80088282003999E-03 
 0.363 	0.014552385546267 
