Title: 磁場スイープ８パタパタ
Date: 2024-06-24
VG	REAL(CURRENT)
 0.449 	0.0254813041538 
 0.448 	2.33541950583458E-02 
 0.447 	1.87796466052532E-02 
 0.446 	0.017928771674633 
 0.445 	2.79925558716059E-02 
 0.444 	0.031851451843977 
 0.443 	1.98707357048988E-02 
 0.442 	0.024020928889513 
 0.441 	3.12016140669584E-02 
 0.44 	2.73715816438198E-02 
 0.439 	0.028973575681448 
 0.438 	2.82244980335236E-02 
 0.437 	0.025347700342536 
 0.436 	0.031304407864809 
 0.435 	2.67579667270184E-02 
 0.434 	3.44705916941166E-02 
 0.433 	3.27848307788372E-02 
 0.432 	3.26634459197521E-02 
 0.431 	3.66460382938385E-02 
 0.43 	4.00751903653145E-02 
 0.429 	4.46254163980484E-02 
 0.428 	4.57274466753006E-02 
 0.427 	4.79541830718517E-02 
 0.426 	5.03492467105389E-02 
 0.425 	5.09418398141861E-02 
 0.424 	0.056809339672327 
 0.423 	5.19164651632309E-02 
 0.422 	6.02869465947151E-02 
 0.421 	5.92812895774841E-02 
 0.42 	0.065054714679718 
 0.419 	8.50605741143227E-02 
 0.418 	0.124940685927868 
 0.417 	0.148028686642647 
 0.416 	0.153500184416771 
 0.415 	0.127128809690475 
 0.414 	0.115465253591537 
 0.413 	5.78185319900513E-02 
 0.412 	0.015948161482811 
 0.411 	-5.59318996965885E-03 
 0.41 	2.7403375133872E-04 
 0.409 	-6.40054699033499E-03 
 0.408 	7.18643749132752E-03 
 0.407 	-4.04971977695823E-03 
 0.406 	5.79761108383536E-04 
 0.405 	4.88014984875917E-03 
 0.404 	-2.2370764054358E-04 
 0.403 	-4.64232079684734E-03 
 0.402 	6.10264833085239E-04 
 0.401 	-2.32844240963459E-03 
 0.4 	6.30363938398659E-05 
 0.399 	1.14250450860709E-03 
 0.398 	2.9845202807337E-03 
 0.397 	8.5705304518342E-03 
 0.396 	4.07388247549534E-03 
 0.395 	1.20322145521641E-02 
 0.394 	1.03251878172159E-02 
 0.393 	1.30972787737846E-02 
 0.392 	8.87783151119947E-03 
 0.391 	2.41913972422481E-03 
 0.39 	4.88019548356533E-03 
 0.389 	-2.43136519566178E-03 
 0.388 	-1.64402578957379E-03 
 0.387 	-8.65662761498243E-04 
 0.386 	1.57493035658263E-04 
 0.385 	1.82306670467369E-04 
 0.384 	-2.46374029666185E-03 
 0.383 	6.56731426715851E-04 
 0.382 	4.45578433573246E-03 
 0.381 	-3.63020715303719E-03 
 0.38 	2.23795906640589E-03 
 0.379 	3.85983334854245E-03 
 0.378 	2.92585673741996E-03 
 0.377 	3.83101077750325E-03 
 0.376 	1.61404768005013E-03 
 0.375 	3.33286309614778E-03 
 0.374 	3.57298599556088E-03 
 0.373 	-3.45830994774587E-05 
 0.372 	-6.69113593176007E-03 
 0.371 	8.30926364869811E-05 
 0.37 	-2.35464237630367E-03 
 0.369 	-1.63391104433686E-03 
 0.368 	1.45729966461658E-02 
 0.367 	-1.70288945082575E-03 
 0.366 	1.24918017536402E-02 
 0.365 	3.14646138576791E-04 
 0.364 	-5.27888350188732E-03 
 0.363 	4.6233122702688E-04 
 0.362 	5.08283032104373E-03 
 0.361 	-1.30339665338397E-03 
 0.36 	3.73134738765657E-04 
 0.359 	-9.55587532371283E-03 
 0.358 	-3.28744342550635E-03 
 0.357 	-3.8052664604038E-03 
 0.356 	-1.92141451407224E-03 
 0.355 	4.74719068733975E-04 
 0.354 	-4.3440330773592E-03 
 0.353 	1.20558880735189E-03 
 0.352 	2.95423599891365E-03 
 0.351 	3.92824737355113E-03 
 0.35 	-1.49862072430551E-03 
