Title: 磁場スイープ4パタパタ
Date: 2024-06-21
VG	REAL(CURRENT)
 0.435 	0.042215708643198 
 0.434 	5.76213635504246E-02 
 0.433 	3.47432345151901E-02 
 0.432 	4.41349521279335E-02 
 0.431 	4.22368198633194E-02 
 0.43 	0.042650144547224 
 0.429 	5.44188022613525E-02 
 0.428 	4.59769293665886E-02 
 0.427 	5.48184923827648E-02 
 0.426 	6.13169819116592E-02 
 0.425 	6.27242550253868E-02 
 0.4245 	5.69443441927433E-02 
 0.424 	0.05938670784235 
 0.4235 	6.34778961539268E-02 
 0.423 	7.05481246113777E-02 
 0.4225 	7.65112414956093E-02 
 0.422 	7.34809786081314E-02 
 0.4215 	0.074919767677784 
 0.421 	7.23207518458366E-02 
 0.4205 	8.22491347789764E-02 
 0.42 	7.68054500222206E-02 
 0.4195 	7.98112154006958E-02 
 0.419 	8.33840295672417E-02 
 0.4185 	7.65753909945488E-02 
 0.418 	8.19181054830551E-02 
 0.4175 	8.90002772212029E-02 
 0.417 	0.094074085354805 
 0.4165 	0.132847651839256 
 0.416 	0.150373473763466 
 0.4155 	0.163867861032486 
 0.415 	0.181627064943314 
 0.4145 	0.182961970567703 
 0.414 	0.183873519301414 
 0.4135 	0.175446406006813 
 0.413 	0.16707307100296 
 0.4125 	0.14032655954361 
 0.412 	0.13113671541214 
 0.4115 	0.104526095092297 
 0.411 	6.15086667239666E-02 
 0.4105 	3.65792848169804E-02 
 0.41 	2.50416826456785E-02 
 0.4095 	1.94937689229846E-03 
 0.409 	1.43778370693326E-02 
 0.4085 	1.06673380360007E-02 
 0.408 	1.01405940949917E-02 
 0.4075 	3.99161037057638E-03 
 0.407 	1.54779814183712E-02 
 0.406 	4.74772648885846E-03 
 0.405 	9.5151262357831E-03 
 0.404 	1.44569361582398E-02 
 0.403 	1.80747278500348E-03 
 0.402 	5.99966943264008E-03 
 0.401 	1.09331626445055E-02 
 0.4 	1.34054301306605E-02 
 0.399 	7.74396397173405E-03 
 0.398 	1.40653951093554E-02 
 0.397 	6.9084563292563E-03 
 0.396 	2.48350240290165E-02 
 0.395 	2.62027811259031E-02 
 0.394 	4.11894097924232E-02 
 0.393 	1.76143124699593E-02 
 0.392 	3.45719233155251E-02 
 0.391 	1.68253723531961E-02 
 0.39 	0.016157191246748 
 0.389 	1.03488881140947E-02 
 0.388 	1.45757542923093E-02 
 0.387 	8.79671610891819E-03 
 0.386 	1.82478167116642E-02 
 0.385 	3.49527155049145E-03 
 0.384 	1.03226257488132E-02 
 0.383 	1.07484944164753E-02 
 0.382 	1.63766369223595E-02 
 0.381 	1.60365998744965E-02 
 0.38 	1.13826356828213E-02 
 0.379 	9.35008935630322E-03 
 0.378 	4.48335567489266E-03 
 0.377 	0.013146260753274 
 0.376 	7.44185317307711E-03 
 0.375 	1.78540330380201E-02 
 0.374 	6.41249492764473E-03 
 0.373 	2.04578917473555E-02 
 0.372 	8.75207304488868E-04 
 0.371 	6.4524975605309E-03 
 0.37 	1.65187083184719E-02 
