Title: 磁場スイープ８パタパタ
Date: 2024-06-25
VG	REAL(CURRENT)
 0.65 	6.11770711839199E-03 
 0.64 	6.65406510233879E-03 
 0.63 	9.50783770531416E-03 
 0.62 	5.49213867634535E-03 
 0.61 	5.38967596367002E-03 
 0.6 	6.44766492769122E-03 
 0.59 	3.71708278544247E-03 
 0.58 	1.34779065847397E-02 
 0.57 	6.2331366352737E-03 
 0.56 	1.38891879469156E-02 
 0.55 	1.12382648512721E-02 
 0.54 	6.20010448619723E-03 
 0.53 	5.88972307741642E-03 
 0.52 	4.03328472748399E-03 
 0.51 	1.23239569365978E-02 
 0.5 	9.66623984277248E-03 
 0.49 	1.01256780326366E-02 
 0.48 	8.44288151711226E-03 
 0.47 	8.05073976516724E-03 
 0.46 	9.7258435562253E-03 
 0.45 	8.95150564610958E-03 
