Title: 磁場スイープ８パタパタ
Date: 2024-07-15
VG	REAL(CURRENT)
 1 	2.73562571965158E-03 
 0.98 	5.91687567066401E-05 
 0.96 	3.93222738057375E-03 
 0.94 	4.84161032363772E-03 
 0.92 	2.61071743443608E-03 
 0.9 	-7.84203875809908E-04 
 0.88 	9.05113760381937E-03 
 0.86 	3.02243675105274E-03 
 0.84 	1.17567519191653E-03 
 0.82 	1.7521798145026E-03 
 0.8 	1.85910530854017E-03 
 0.78 	8.06006602942944E-03 
 0.76 	1.99792324565351E-03 
 0.74 	1.70419982168823E-03 
 0.72 	4.10225708037615E-03 
 0.7 	1.78967672400177E-03 
 0.68 	5.41176786646247E-03 
 0.66 	2.81659490428865E-03 
 0.64 	7.68411764875054E-03 
 0.62 	4.09679301083088E-03 
 0.6 	6.41617458313704E-03 
 0.58 	4.30550053715706E-03 
 0.56 	5.01555297523737E-03 
 0.54 	7.31801800429821E-03 
 0.52 	7.92706292122602E-03 
 0.5 	0.010211487300694 
 0.48 	1.42951672896743E-02 
 0.46 	1.39816896989942E-02 
 0.44 	1.64121594280005E-02 
 0.419999999999999 	4.14206124842167E-02 
