Title: 磁場スイープ4パタパタ
Date: 2024-07-04
VG	real(CURRENT)
 1 	9.65779554098845E-03 
 0.99 	1.16108758375049E-02 
 0.98 	8.11959709972143E-03 
 0.97 	-3.29618062824011E-03 
 0.96 	-1.22891122009605E-03 
 0.95 	-2.16021738015115E-03 
 0.94 	3.35376686416566E-03 
 0.93 	2.99419648945332E-03 
 0.92 	1.90022774040699E-03 
 0.91 	6.74358895048499E-03 
 0.9 	2.96515156514943E-03 
 0.89 	-2.77871848084033E-03 
 0.88 	1.16729561705142E-03 
 0.87 	-4.65237884782255E-04 
 0.86 	3.41563276015222E-03 
 0.85 	2.2155640181154E-03 
 0.84 	1.63000309839845E-03 
 0.83 	-6.45011372398585E-04 
 0.82 	-1.27360064652748E-04 
 0.81 	6.25049229711294E-04 
 0.8 	7.14663043618202E-03 
 0.79 	1.02926809340715E-02 
 0.78 	3.72915272600949E-03 
 0.77 	9.65834781527519E-03 
 0.76 	2.8885283973068E-03 
 0.75 	9.12198610603809E-03 
 0.74 	3.00011457875371E-03 
 0.73 	1.09039284288883E-02 
 0.72 	1.14097902551293E-02 
 0.71 	6.34257728233933E-03 
 0.7 	8.15605372190475E-03 
 0.69 	4.92520490661263E-03 
 0.68 	2.86429165862501E-03 
 0.67 	9.69582761172205E-04 
 0.66 	9.43137158174068E-04 
 0.65 	-1.68196464073844E-04 
 0.64 	-1.5745812561363E-04 
 0.63 	5.03197021316737E-04 
 0.62 	1.76788750104606E-03 
 0.61 	3.5506971180439E-03 
 0.6 	-5.5113727285061E-05 
 0.59 	5.20288711413741E-03 
 0.58 	2.75385100394487E-03 
 0.57 	9.61747393012047E-03 
 0.56 	6.55613467097282E-03 
 0.55 	3.77257145009935E-03 
 0.54 	3.74873448163271E-03 
 0.53 	3.92718182411045E-04 
 0.52 	2.81383679248393E-03 
 0.51 	1.38469934463501E-02 
 0.5 	4.32960316538811E-03 
 0.49 	7.44779221713543E-03 
 0.48 	1.86806190758944E-02 
 0.47 	2.49409656971693E-02 
 0.46 	0.022808987647295 
 0.45 	2.06263344734907E-02 
 0.44 	0.025899101048708 
 0.429999999999999 	3.60744185745716E-02 
 0.419999999999999 	4.49102893471718E-02 
 0.414999999999999 	9.68200862407684E-02 
 0.409999999999999 	2.25418955087662E-02 
 0.404999999999999 	2.51414515078068E-02 
 0.394999999999999 	4.73880134522915E-02 
 0.384999999999999 	1.62959881126881E-02 
 0.374999999999999 	1.67524516582489E-02 
 0.364999999999999 	1.53955221176147E-02 
 0.354999999999999 	1.48685807362199E-02 
