Title: 磁場スイープ８パタパタ
Date: 2024-07-08
VG	real(CURRENT)
 0.8 	-8.81788961123675E-04 
 0.78 	-3.0897525139153E-03 
 0.76 	-1.63786648772657E-03 
 0.74 	2.60432774666697E-04 
 0.72 	-2.57604336366057E-03 
 0.7 	-1.61829811986536E-03 
 0.68 	-1.81858148425817E-03 
 0.66 	-3.18157230503857E-03 
 0.64 	-2.99070379696786E-03 
 0.62 	-1.59151363186538E-03 
 0.6 	-3.57969757169485E-03 
 0.58 	-1.18767644744366E-03 
 0.56 	-2.78732011793181E-04 
 0.54 	-3.02902469411492E-03 
 0.52 	8.05672432761639E-04 
 0.5 	1.87500065658242E-03 
 0.48 	-1.39860389754176E-03 
 0.47 	1.76976155489683E-03 
 0.46 	-4.82733768876642E-04 
 0.45 	2.77234637178481E-03 
 0.44 	-3.19801620207727E-04 
 0.43 	5.71372359991074E-03 
 0.425 	3.50387720391154E-03 
 0.42 	7.04346597194672E-03 
 0.419 	8.93107336014509E-03 
 0.418 	7.5913704931736E-03 
 0.417 	1.04552293196321E-02 
 0.416 	1.52726396918297E-02 
 0.415 	2.39566918462515E-02 
 0.414 	2.38977670669556E-02 
 0.413 	1.48156573995948E-02 
 0.412 	9.60332434624434E-03 
 0.411 	6.82969624176621E-03 
 0.41 	-3.38608701713383E-03 
 0.409 	5.59342617634684E-04 
 0.408 	-1.6261069686152E-04 
 0.407 	9.24152496736497E-04 
 0.406 	1.08433607965708E-03 
 0.405 	-1.3344683975447E-04 
 0.404 	-2.27095835725777E-04 
 0.403 	-1.41575961606577E-04 
 0.402 	-2.71481135860085E-03 
 0.401 	-1.52060925029218E-03 
 0.4 	8.10893601737916E-04 
 0.399 	-5.65588532481343E-04 
 0.398 	3.72036965563893E-03 
 0.397 	1.35215977206826E-02 
 0.387 	-8.64184927195311E-04 
 0.377 	-2.34383996576071E-03 
 0.367 	-2.31543835252523E-03 
 0.357 	2.23911995999515E-03 
